word,label,confidence,reason
टेलमिसन,incorrect,low,No close match
चक्राउस,incorrect,low,No close match
मोनुमेंट,incorrect,low,No close match
क्वेशन्स,incorrect,low,No close match
धध,correct,low,Too short to judge
उद्धिया,incorrect,low,No close match
कॉम्पिटिशन,incorrect,low,No close match
वावावावा,incorrect,low,No close match
सब्सक्रिप्शन,incorrect,low,No close match
ट्वेन्टीन,incorrect,low,No close match
पार्टिसिपेटकरना,incorrect,low,No close match
एह,correct,low,Too short to judge
हव,correct,low,Too short to judge
जेतनदूर,incorrect,low,No close match
संघर्षपूर्ण,incorrect,low,No close match
पो्परेसर,incorrect,low,No close match
पस्तीदे,incorrect,low,No close match
मानदूपुर,incorrect,low,No close match
ध्यानवाद,incorrect,low,No close match
एनवलप,incorrect,low,No close match
जस्कॉलेस,incorrect,low,No close match
पौइंट्स,incorrect,low,No close match
मकरसंक्रान्ति,incorrect,low,No close match
पद्यांश,incorrect,low,No close match
भाईदूज,incorrect,low,No close match
एक्सहयतिक,incorrect,low,No close match
सद्बुद्धि,incorrect,low,No close match
पस्तेंदेंशन,incorrect,low,No close match
प्योरिटी,incorrect,low,No close match
उसमेंउसमें,incorrect,low,No close match
नंबरजल्दी,incorrect,low,No close match
सिनेमैटिक,incorrect,low,No close match
अन्हाईजीनिक,incorrect,low,No close match
एस्टेबलिस्ट,incorrect,low,No close match
सपाटसुत,incorrect,low,No close match
कियाहम्म,incorrect,low,No close match
एक्जिबिशन,incorrect,low,No close match
एल्युमिनियम,incorrect,low,No close match
लक्जरियस,incorrect,low,No close match
मिसयूजभी,incorrect,low,No close match
चस,correct,low,Too short to judge
पॉकीमोन,incorrect,low,No close match
अनएम्प्लॉयमेंट,incorrect,low,No close match
हाेपलेस,incorrect,low,No close match
बेज़्ज़ती,incorrect,low,No close match
बहुभाषी,incorrect,low,No close match
लूपहोल,incorrect,low,No close match
विषैली,incorrect,low,No close match
चढ,correct,low,Too short to judge
वज,correct,low,Too short to judge
